locus_tag,Accession,Entry Name,Reviewed,Protein names,Gene Names,Organism,Length
ASAN02232_LOCUS1,A0A7S2VX79,A0A7S2VX79_9DINO,unreviewed,Secreted protein,ASAN02232_LOCUS1,Akashiwo sanguinea,106
ASAN02232_LOCUS4,A0A7S2VWZ7,A0A7S2VWZ7_9DINO,unreviewed,Chitin-binding type-4 domain-containing protein,ASAN02232_LOCUS4,Akashiwo sanguinea,146
ASAN02232_LOCUS5,A0A7S2QWE8,A0A7S2QWE8_9DINO,unreviewed,Uncharacterized protein,ASAN02232_LOCUS5,Akashiwo sanguinea,111
ASAN02232_LOCUS6,A0A7S2QWH0,A0A7S2QWH0_9DINO,unreviewed,Uncharacterized protein,ASAN02232_LOCUS6,Akashiwo sanguinea,111
ASAN02232_LOCUS9,A0A7S2QXM0,A0A7S2QXM0_9DINO,unreviewed,Uncharacterized protein,ASAN02232_LOCUS9,Akashiwo sanguinea,105
ASAN02232_LOCUS10,A0A7S2QWQ7,A0A7S2QWQ7_9DINO,unreviewed,Uncharacterized protein,ASAN02232_LOCUS10,Akashiwo sanguinea,195
ASAN02232_LOCUS12,A0A7S2QWK4,A0A7S2QWK4_9DINO,unreviewed,REJ domain-containing protein,ASAN02232_LOCUS12,Akashiwo sanguinea,100
ASAN02232_LOCUS13,A0A7S2QWK2,A0A7S2QWK2_9DINO,unreviewed,Histone H3,ASAN02232_LOCUS13,Akashiwo sanguinea,106
ASAN02232_LOCUS15,A0A7S2QWX1,A0A7S2QWX1_9DINO,unreviewed,Uncharacterized protein,ASAN02232_LOCUS15,Akashiwo sanguinea,105
ASAN02232_LOCUS16,A0A7S2QWF4,A0A7S2QWF4_9DINO,unreviewed,Uncharacterized protein,ASAN02232_LOCUS16,Akashiwo sanguinea,104
ASAN02232_LOCUS17,A0A7S2QWF0,A0A7S2QWF0_9DINO,unreviewed,Uncharacterized protein,ASAN02232_LOCUS17,Akashiwo sanguinea,154
ASAN02232_LOCUS18,A0A7S2QWH1,A0A7S2QWH1_9DINO,unreviewed,Uncharacterized protein,ASAN02232_LOCUS18,Akashiwo sanguinea,100
ASAN02232_LOCUS19,A0A7S2VWQ3,A0A7S2VWQ3_9DINO,unreviewed,Uncharacterized protein,ASAN02232_LOCUS19,Akashiwo sanguinea,166
ASAN02232_LOCUS26,A0A7S2VWU9,A0A7S2VWU9_9DINO,unreviewed,Uncharacterized protein,ASAN02232_LOCUS26,Akashiwo sanguinea,101
ASAN02232_LOCUS28,A0A7S2VW89,A0A7S2VW89_9DINO,unreviewed,Uncharacterized protein,ASAN02232_LOCUS28,Akashiwo sanguinea,156
ASAN02232_LOCUS29,A0A7S2VX83,A0A7S2VX83_9DINO,unreviewed,Secreted protein,ASAN02232_LOCUS29,Akashiwo sanguinea,109
ASAN02232_LOCUS30,A0A7S2VX02,A0A7S2VX02_9DINO,unreviewed,Uncharacterized protein,ASAN02232_LOCUS30,Akashiwo sanguinea,144
ASAN02232_LOCUS31,A0A7S2QWG1,A0A7S2QWG1_9DINO,unreviewed,Uncharacterized protein,ASAN02232_LOCUS31,Akashiwo sanguinea,104
ASAN02232_LOCUS34,A0A7S2QWI1,A0A7S2QWI1_9DINO,unreviewed,Uncharacterized protein,ASAN02232_LOCUS34,Akashiwo sanguinea,110
ASAN02232_LOCUS35,A0A7S2QXN1,A0A7S2QXN1_9DINO,unreviewed,Uncharacterized protein,ASAN02232_LOCUS35,Akashiwo sanguinea,105
ASAN02232_LOCUS36,A0A7S2QWR5,A0A7S2QWR5_9DINO,unreviewed,60S acidic ribosomal protein P2,ASAN02232_LOCUS36,Akashiwo sanguinea,143
ASAN02232_LOCUS39,A0A7S2QWL1,A0A7S2QWL1_9DINO,unreviewed,Uncharacterized protein,ASAN02232_LOCUS39,Akashiwo sanguinea,148
ASAN02232_LOCUS40,A0A7S2QWL2,A0A7S2QWL2_9DINO,unreviewed,Uncharacterized protein,ASAN02232_LOCUS40,Akashiwo sanguinea,104
ASAN02232_LOCUS41,A0A7S2QWX9,A0A7S2QWX9_9DINO,unreviewed,Uncharacterized protein,ASAN02232_LOCUS41,Akashiwo sanguinea,99
ASAN02232_LOCUS42,A0A7S2QWG2,A0A7S2QWG2_9DINO,unreviewed,Uncharacterized protein,ASAN02232_LOCUS42,Akashiwo sanguinea,101
ASAN02232_LOCUS43,A0A7S2QWF8,A0A7S2QWF8_9DINO,unreviewed,Uncharacterized protein,ASAN02232_LOCUS43,Akashiwo sanguinea,112
ASAN02232_LOCUS46,A0A7S2QWI5,A0A7S2QWI5_9DINO,unreviewed,Uncharacterized protein,ASAN02232_LOCUS46,Akashiwo sanguinea,173
ASAN02232_LOCUS47,A0A7S2VWQ9,A0A7S2VWQ9_9DINO,unreviewed,Uncharacterized protein,ASAN02232_LOCUS47,Akashiwo sanguinea,148
ASAN02232_LOCUS48,A0A7S2VWV4,A0A7S2VWV4_9DINO,unreviewed,Secreted protein,ASAN02232_LOCUS48,Akashiwo sanguinea,150
ASAN02232_LOCUS49,A0A7S2VW93,A0A7S2VW93_9DINO,unreviewed,Secreted protein,ASAN02232_LOCUS49,Akashiwo sanguinea,135
